Economy,Economy Code,Gallup World Poll identifier,Weight,Respondent is female,Respondent age,Respondent education level,Within-economy household income quintile,Has an account,Has an account at a financial institution,Has a mobile money account,Has a debit card,If has debit card: card in own name,If has debit card: used card in past 12 months,Has a credit card,If has credit card: used card in past 12 months,If does not have account: b/c too far away,If does not have account: b/c too expensive,If does not have account: b/c lack documentation,If does not have account: b/c lack trust,If does not have account: b/c religious reasons,If does not have account: b/c lack of money,If does not have account: b/c family member already has one,If does not have account: b/c cannot get one,If does not have account: b/c no need for financial services,If has account: any deposit into account in past 12 months,If has any deposit into account: number of monthly deposits,If has account: any withdrawal from account in past 12 months,If has any withdrawal from account: number of monthly withdrawals,If has account: most frequent mode of cash withdrawal,If has account: made a transaction using a mobile phone,Made payments online using the Internet,Saved in past 12 months: for farm/business purposes,Saved in past 12 months: for old age,Saved in past 12 months: for education or school fees,Saved in past 12 months: using an account at a financial institution,Saved in past 12 months: using an informal savings club,"Has loan from a financial institution for house, apartment, or land",Borrowed in past 12 months: from a financial institution,Borrowed in past 12 months: from a store (store credit),Borrowed in past 12 months: from family or friends,Borrowed in past 12 months: from another private lender,Borrowed in past 12 months: for education or school fees,Borrowed in past 12 months: for medical purposes,Borrowed in past 12 months: for farm/business purposes,Possibility of coming up with emergency funds,If able to come up with emergency funds: main source,Sent domestic remittances in past 12 months,If sent domestic remittances: in cash,If sent domestic remittances: through a financial institution,If sent domestic remittances: through a mobile phone,If sent domestic remittances: through an MTO,Received domestic remittances in past 12 months,If received domestic remittances: in cash,If received domestic remittances: through a financial institution,If received domestic remittances: through a mobile phone,If received domestic remittances: through an MTO,Paid utility bills in past 12 months,If paid utility bills: in cash,If paid utility bills: using an account,If paid utility bills: through a mobile phone,Paid school fees in past 12 months,If paid school fees: in cash,If paid school fees: using an account,If paid school fees: through a mobile phone,Received wage payments in past 12 months,If received wage payments: work in public sector,If received wage payments: in cash,If received wage payments: into an account or to a card,If received wage payments: through a mobile phone,If received cashless wage payments: account use,If received cashless wage payments: account type,Received government transfers in past 12 months,If received government transfers: in cash,If received government transfers: into an account or to a card,If received government transfers: through a mobile phone,If received cashless government transfers: account use,If received cashless government transfers: account type,Received agricultural payments in past 12 months,If received agricultural payments: in cash,If received agricultural payments: into an account,If received agricultural payments: through a mobile phone,Saved in the past year,Borrowed in the past year
India,IND,143229273,3.449545676,1 male,18,secondary,5 richest 20%,yes,yes,no,yes,yes,yes,no,,,,,,,,,,,no,,yes,1 one or two times per month,1 you get it at an atm,yes,no,yes,no,no,no,no,no,no,no,no,no,no,(dk),yes,1 very possible,"2 family, relatives, or friends",yes,yes,no,no,no,no,,,,,no,,,,no,,,,no,,,,,,,no,,,,,,no,,,,yes,yes
India,IND,114408222,1.57434693,1 male,17,completed primary or less,4 fourth 20%,no,no,no,no,,,no,,no,yes,no,yes,no,no,no,no,no,,,,,,,no,yes,yes,no,yes,no,no,no,no,no,(dk),(dk),(dk),yes,1 very possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,no,,,,,,,no,,,,,,yes,no,no,no,yes,yes
India,IND,114890320,1.006387043,1 male,67,completed primary or less,5 richest 20%,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,yes,1 one or two times per month,no,,1 you get it at an atm,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,1 very possible,"2 family, relatives, or friends",no,,,,,no,,,,,no,,,,no,,,,no,,,,,,,no,,,,,,yes,yes,yes,yes,yes,yes
India,IND,150063363,0.552665807,1 male,45,completed primary or less,5 richest 20%,no,no,no,no,,,no,,no,no,no,no,yes,yes,yes,no,no,,,,,,,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",yes,yes,yes,no,yes,no,,,,,yes,yes,no,no,no,,,,yes,no,yes,no,no,,,no,,,,,,no,,,,yes,no
India,IND,191183089,0.168108725,2 female,48,completed primary or less,4 fourth 20%,yes,yes,no,yes,yes,yes,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,2 somewhat possible,3 money from working or a loan from an employer,yes,yes,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,,,,yes,no,yes,yes,no,4 (refused),1 you had this account before you began receiving payments from an employer.,no,,,,,,no,,,,yes,yes
India,IND,135790203,0.177350586,2 female,19,completed primary or less,5 richest 20%,no,no,no,no,,,no,,no,no,no,yes,no,yes,no,no,no,,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,yes,no,no,no,yes,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,no,,,,no,no
India,IND,180726436,1.40226289,1 male,26,secondary,4 fourth 20%,yes,yes,no,yes,yes,yes,no,,,,,,,,,,,yes,1 one or two times per month,yes,3 money is not taken out in a typical month,1 you get it at an atm,no,no,no,no,(dk),yes,no,no,no,no,yes,no,no,no,no,1 very possible,3 money from working or a loan from an employer,no,,,,,yes,yes,no,no,yes,yes,yes,no,no,no,,,,yes,no,yes,no,no,,,no,,,,,,no,,,,yes,yes
India,IND,121121975,0.887408727,1 male,50,secondary,4 fourth 20%,yes,yes,no,yes,yes,yes,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,1 very possible,3 money from working or a loan from an employer,no,,,,,no,,,,,yes,yes,yes,no,(ref),,,,yes,no,yes,no,no,,,no,,,,,,no,,,,yes,no
India,IND,183252666,0.228756478,2 female,27,completed primary or less,5 richest 20%,no,no,no,no,,,no,,yes,(dk),no,no,no,no,yes,no,yes,,,,,,,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,yes,yes,no,no,no,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,no,,,,yes,yes
India,IND,172900300,1.630721987,1 male,18,secondary,3 middle 20%,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,no,,yes,1 one or two times per month,1 you get it at an atm,no,no,no,no,yes,yes,no,no,no,(dk),no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,yes,yes,no,no,yes,(dk),,,,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,170188266,1.16577662,2 female,17,secondary,4 fourth 20%,no,no,no,no,,,no,,no,no,yes,no,no,no,yes,yes,no,,,,,,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,3 not very possible,"2 family, relatives, or friends",no,,,,,no,,,,,(dk),,,,no,,,,no,,,,,,,no,,,,,,no,,,,no,yes
India,IND,170308776,0.359388022,1 male,20,completed primary or less,5 richest 20%,yes,yes,no,yes,yes,yes,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,2 somewhat possible,3 money from working or a loan from an employer,no,,,,,no,,,,,no,,,,no,,,,no,,,,,,,no,,,,,,(ref),,,,yes,yes
India,IND,130728321,0.286507643,1 male,21,secondary,5 richest 20%,yes,yes,no,yes,yes,yes,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,1 very possible,3 money from working or a loan from an employer,yes,no,yes,no,no,no,,,,,yes,yes,no,no,no,,,,yes,no,no,yes,no,2 over time as needed,"3 this was your first account, and it was opened so you could receive payments from an employer.",no,,,,,,no,,,,yes,yes
India,IND,175548650,2.833031852,2 female,25,completed primary or less,3 middle 20%,no,no,no,no,,,no,,no,no,no,no,no,no,yes,no,no,,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,4 not at all possible,,no,,,,,no,,,,,yes,yes,no,(dk),no,,,,no,,,,,,,no,,,,,,no,,,,no,yes
India,IND,154542312,0.201110656,2 female,56,completed primary or less,5 richest 20%,yes,yes,no,yes,no,yes,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,yes,yes,no,yes,no,no,yes,no,(dk),(dk),(dk),no,(dk),(dk),no,2 somewhat possible,1 savings,no,,,,,no,,,,,yes,yes,yes,no,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,210370772,1.480029581,1 male,28,secondary,5 richest 20%,yes,yes,no,yes,yes,yes,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,1 very possible,3 money from working or a loan from an employer,yes,yes,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,no,,,,no,yes
India,IND,126547002,0.340237958,1 male,36,secondary,5 richest 20%,yes,yes,no,yes,yes,yes,yes,no,,,,,,,,,,yes,1 one or two times per month,yes,2 three or more times per month,1 you get it at an atm,no,no,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,(dk),,,,,no,,,,yes,yes,no,no,no,,,,,,,no,,,,,,no,,,,yes,yes
India,IND,151304351,0.262036457,1 male,36,completed primary or less,3 middle 20%,no,no,no,no,,,no,,(dk),(dk),(dk),(dk),(dk),(dk),no,no,no,,,,,,,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,3 not very possible,3 money from working or a loan from an employer,(dk),,,,,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,yes,yes,no,no,no,yes
India,IND,186093292,0.314608525,2 female,17,completed primary or less,3 middle 20%,no,no,no,no,,,no,,(dk),(dk),yes,(dk),(dk),no,yes,yes,(dk),,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,4 not at all possible,,no,,,,,no,,,,,no,,,,no,,,,no,,,,,,,no,,,,,,no,,,,no,no
India,IND,193822470,0.881707559,2 female,28,secondary,5 richest 20%,no,no,no,no,,,no,,no,no,no,no,no,no,yes,no,yes,,,,,,,no,no,no,no,no,no,no,no,yes,yes,(dk),no,no,no,2 somewhat possible,"2 family, relatives, or friends",(dk),,,,,no,,,,,(dk),,,,yes,yes,no,no,no,,,,,,,no,,,,,,no,,,,yes,yes
India,IND,176536345,0.234157001,2 female,41,completed primary or less,5 richest 20%,no,no,no,no,,,no,,(dk),(dk),(ref),(ref),(dk),(dk),(ref),yes,no,,,,,,,(ref),(dk),no,no,(dk),(dk),(ref),(dk),(ref),no,(dk),(dk),(ref),no,2 somewhat possible,"2 family, relatives, or friends",(dk),,,,,(dk),,,,,(dk),,,,(dk),,,,no,,,,,,,(dk),,,,,,(dk),,,,no,no
India,IND,112455273,0.351269988,2 female,31,completed tertiary or more,5 richest 20%,yes,yes,no,yes,yes,yes,no,,,,,,,,,,,no,,yes,1 one or two times per month,1 you get it at an atm,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1 very possible,"2 family, relatives, or friends",no,,,,,no,,,,,(dk),,,,(dk),,,,no,,,,,,,no,,,,,,no,,,,no,no
India,IND,164473888,0.836970358,2 female,54,secondary,5 richest 20%,no,no,no,no,,,no,,yes,yes,(dk),(dk),no,no,yes,yes,yes,,,,,,,(ref),no,(ref),(ref),(ref),(ref),(ref),(ref),(ref),(dk),(dk),(ref),(dk),(ref),5 (dk),,(dk),,,,,(dk),,,,,(dk),,,,(dk),,,,(dk),,,,,,,(dk),,,,,,(ref),,,,no,no
India,IND,176484656,4.052691338,2 female,20,secondary,3 middle 20%,yes,yes,no,no,,,no,,,,,,,,,,,(ref),,(dk),,2 you get it over the counter in a branch of your financial institution,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,yes,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,,,no,,,,,,yes,yes,no,no,yes,yes
India,IND,187518950,1.942212459,1 male,25,secondary,5 richest 20%,yes,yes,no,yes,yes,yes,yes,no,,,,,,,,,,no,,yes,2 three or more times per month,1 you get it at an atm,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,1 very possible,1 savings,no,,,,,no,,,,,yes,yes,no,no,(dk),,,,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,132399121,1.843666009,1 male,45,secondary,5 richest 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,yes,1 one or two times per month,yes,4 (dk),1 you get it at an atm,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,1 very possible,1 savings,no,,,,,no,,,,,yes,yes,no,no,(dk),,,,no,,,,,,,no,,,,,,no,,,,yes,yes
India,IND,124358255,1.37443593,1 male,20,completed primary or less,4 fourth 20%,yes,yes,no,yes,yes,yes,no,,,,,,,,,,,yes,1 one or two times per month,yes,2 three or more times per month,1 you get it at an atm,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,1 very possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,yes,no,no,,,,no,,,,,,,no,,,,,,yes,yes,no,no,yes,no
India,IND,139122882,0.431894099,1 male,54,completed tertiary or more,5 richest 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,yes,4 (dk),yes,4 (dk),7 (refused),no,(ref),(ref),(ref),yes,(ref),(ref),no,no,no,no,no,no,no,no,1 very possible,8 (refused),(ref),,,,,(ref),,,,,yes,yes,no,no,yes,yes,no,no,no,,,,,,,(dk),,,,,,no,,,,yes,no
India,IND,199674913,0.215947049,1 male,50,secondary,5 richest 20%,yes,yes,no,yes,yes,yes,no,,,,,,,,,,,no,,yes,4 (dk),1 you get it at an atm,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,175543724,0.767224429,1 male,38,completed primary or less,4 fourth 20%,no,no,no,no,,,no,,no,no,no,(ref),(ref),yes,yes,no,no,,,,,,,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,3 not very possible,7 (dk),no,,,,,no,,,,,yes,yes,no,no,no,,,,yes,no,yes,no,(ref),,,no,,,,,,yes,yes,no,no,no,yes
India,IND,121957664,1.181881716,1 male,25,completed primary or less,4 fourth 20%,yes,yes,no,yes,yes,yes,no,,,,,,,,,,,yes,3 money is not deposited in a typical month,yes,1 one or two times per month,4 you get it some other way,no,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,no,1 very possible,"2 family, relatives, or friends",no,,,,,no,,,,,no,,,,yes,yes,no,no,no,,,,,,,no,,,,,,yes,yes,no,no,yes,yes
India,IND,205963121,0.511851852,1 male,28,completed tertiary or more,5 richest 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,(ref),,(ref),,7 (refused),(ref),no,no,no,no,no,(ref),no,no,no,no,yes,no,no,no,1 very possible,1 savings,yes,yes,(ref),(ref),(ref),(ref),,,,,yes,yes,no,no,no,,,,no,,,,,,,yes,yes,no,no,,,yes,yes,no,no,no,yes
India,IND,154289870,2.458221346,1 male,50,secondary,5 richest 20%,yes,yes,no,yes,yes,yes,no,,,,,,,,,,,no,,no,,4 you get it some other way,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,yes,1 very possible,6 some other source,yes,yes,no,no,no,no,,,,,no,,,,no,,,,no,,,,,,,no,,,,,,yes,yes,no,no,yes,yes
India,IND,171219956,4.052691338,1 male,50,secondary,4 fourth 20%,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,yes,3 money is not deposited in a typical month,yes,1 one or two times per month,1 you get it at an atm,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,1 very possible,"2 family, relatives, or friends",yes,yes,no,yes,yes,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,132912303,3.963786658,2 female,43,secondary,5 richest 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,(ref),,(ref),,7 (refused),(ref),no,no,yes,no,yes,no,no,no,no,no,(ref),no,(ref),(ref),1 very possible,3 money from working or a loan from an employer,no,,,,,no,,,,,yes,yes,yes,no,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,173968008,1.298810252,1 male,59,completed primary or less,4 fourth 20%,yes,yes,no,no,,,no,,,,,,,,,,,(dk),,(dk),,4 you get it some other way,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,1 very possible,1 savings,no,,,,,yes,yes,no,no,no,no,,,,no,,,,no,,,,,,,no,,,,,,yes,no,no,no,yes,yes
India,IND,207409289,4.052691338,1 male,43,secondary,5 richest 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,yes,4 (dk),yes,4 (dk),1 you get it at an atm,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,1 very possible,1 savings,no,,,,,(dk),,,,,yes,yes,yes,no,no,,,,yes,(dk),no,yes,no,1 all of the money right away,"2 you had an account before, but this account was opened so you could receive payments from an employer.",no,,,,,,no,,,,yes,yes
India,IND,178446617,2.023708699,1 male,59,secondary,5 richest 20%,yes,yes,no,yes,yes,yes,yes,no,,,,,,,,,,no,,no,,4 you get it some other way,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,1 very possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,207488445,0.519524101,1 male,80,completed primary or less,5 richest 20%,yes,yes,no,no,,,no,,,,,,,,,,,yes,4 (dk),no,,4 you get it some other way,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1 very possible,"2 family, relatives, or friends",no,,,,,yes,yes,no,no,no,yes,yes,no,no,no,,,,(ref),,,,,,,(dk),,,,,,no,,,,no,no
India,IND,131741537,0.46424916,2 female,76,completed primary or less,5 richest 20%,yes,yes,no,no,,,no,,,,,,,,,,,no,,no,,4 you get it some other way,no,no,(dk),yes,no,no,no,no,no,no,no,no,no,no,no,1 very possible,1 savings,no,,,,,(dk),,,,,(dk),,,,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,202380344,4.052691338,1 male,45,secondary,5 richest 20%,yes,yes,no,yes,yes,no,yes,yes,,,,,,,,,,(ref),,yes,5 (refused),7 (refused),yes,yes,yes,yes,no,(ref),(ref),no,no,no,no,no,no,no,no,1 very possible,"2 family, relatives, or friends",yes,yes,no,no,yes,no,,,,,yes,yes,yes,no,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,137132956,3.053035592,2 female,33,secondary,5 richest 20%,no,no,no,(ref),,,(ref),,yes,(ref),(ref),(ref),(ref),(ref),(ref),(ref),(ref),,,,,,,no,no,(ref),(ref),(ref),(ref),no,(ref),(ref),(ref),(ref),no,no,no,1 very possible,7 (dk),no,,,,,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,no,,,,no,no
India,IND,147064491,4.052691338,1 male,81,secondary,5 richest 20%,yes,yes,no,no,,,no,,,,,,,,,,,yes,1 one or two times per month,no,,2 you get it over the counter in a branch of your financial institution,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,yes,yes,no,no,no,yes,yes,no,no,no,,,,no,,,,,,,yes,no,yes,no,2 over time as needed,4 (dk),no,,,,no,no
India,IND,182776877,4.052691338,2 female,33,completed primary or less,3 middle 20%,yes,no,yes,no,,,no,,(dk),yes,(dk),(dk),no,no,(dk),(dk),(dk),,,,,,,no,(dk),no,(dk),no,(dk),no,no,(dk),yes,(dk),no,yes,(dk),6 (refused),,yes,yes,no,(dk),(dk),(dk),,,,,no,,,,no,,,,yes,(dk),yes,no,yes,2 over time as needed,5 (refused),no,,,,,,(ref),,,,no,yes
India,IND,140504393,0.846928494,2 female,55,completed primary or less,3 middle 20%,yes,yes,no,no,,,no,,(dk),(dk),(ref),(dk),no,yes,no,(dk),no,,,,,,,no,no,(ref),(dk),no,no,(dk),(dk),(dk),(dk),(dk),(dk),(dk),no,3 not very possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,(ref),,,,yes,no,yes,no,no,,,yes,yes,yes,no,3 (dk),4 (dk),yes,no,yes,no,no,no
India,IND,181957933,2.369416048,1 male,65,completed primary or less,1 poorest 20%,yes,yes,no,no,,,no,,no,no,no,yes,no,yes,no,no,no,,,,,,,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,yes,no,no,,,,no,,,,,,,no,,,,,,no,,,,no,yes
India,IND,133626208,1.449597725,2 female,37,completed primary or less,2 second 20%,no,no,no,no,,,(dk),,no,yes,no,no,no,yes,no,yes,no,,,,,,,no,(dk),no,yes,(dk),(dk),no,no,no,no,no,no,no,no,4 not at all possible,,no,,,,,no,,,,,yes,yes,(dk),no,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,169965134,0.64727753,2 female,20,completed primary or less,3 middle 20%,no,no,no,no,,,no,,(dk),no,(dk),no,(dk),no,(dk),(dk),(dk),,,,,,,no,no,no,no,no,(dk),(dk),yes,no,no,yes,no,yes,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,no,,,,no,yes
India,IND,121664295,0.434606637,1 male,15,completed primary or less,3 middle 20%,no,no,no,no,,,no,,no,no,no,no,no,no,yes,no,no,,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,4 not at all possible,,no,,,,,no,,,,,yes,yes,(dk),no,(dk),,,,no,,,,,,,no,,,,,,yes,no,no,no,no,no
India,IND,187813788,3.312242747,2 female,23,completed primary or less,1 poorest 20%,no,no,no,no,,,(dk),,(dk),no,(dk),(dk),(dk),no,no,(dk),(dk),,,,,,,no,no,no,no,no,no,no,no,(dk),no,no,no,no,no,5 (dk),,no,,,,,no,,,,,yes,yes,no,no,yes,yes,(dk),no,yes,(dk),yes,no,no,,,no,,,,,,no,,,,no,no
India,IND,182907480,0.185212243,1 male,57,completed primary or less,5 richest 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,no,,no,,2 you get it over the counter in a branch of your financial institution,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,yes,2 somewhat possible,"2 family, relatives, or friends",no,,,,,yes,yes,no,no,no,yes,yes,yes,no,no,,,,no,,,,,,,no,,,,,,no,,,,yes,yes
India,IND,122410324,4.052691338,1 male,17,completed primary or less,1 poorest 20%,no,no,no,no,,,no,,no,no,no,no,no,no,yes,no,yes,,,,,,,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,4 not at all possible,,no,,,,,no,,,,,yes,yes,no,no,no,,,,(dk),,,,,,,no,,,,,,no,,,,yes,yes
India,IND,118567530,0.403413562,1 male,49,completed primary or less,4 fourth 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,no,,no,,6 (dk),no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,no,,,,no,no
India,IND,188163110,0.236504889,1 male,48,completed primary or less,5 richest 20%,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,yes,2 three or more times per month,yes,2 three or more times per month,1 you get it at an atm,yes,no,yes,yes,no,no,no,no,no,yes,no,(dk),(dk),no,yes,2 somewhat possible,3 money from working or a loan from an employer,no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,yes,no,no,yes,yes,2 over time as needed,"3 this was your first account, and it was opened so you could receive payments from an employer.",no,,,,,,no,,,,yes,yes
India,IND,125617784,0.372928401,1 male,50,completed primary or less,5 richest 20%,yes,yes,no,yes,yes,yes,yes,no,,,,,,,,,,no,,yes,1 one or two times per month,1 you get it at an atm,no,no,no,yes,yes,no,(dk),no,no,no,no,no,no,no,no,2 somewhat possible,3 money from working or a loan from an employer,yes,no,yes,no,no,(dk),,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,yes,no,no,no,yes,no
India,IND,202086774,0.26329744,2 female,33,completed primary or less,1 poorest 20%,no,no,no,no,,,no,,no,no,no,(dk),no,no,no,no,no,,,,,,,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,3 not very possible,3 money from working or a loan from an employer,no,,,,,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,no,,,,yes,yes
India,IND,188083469,0.382542431,1 male,38,completed primary or less,5 richest 20%,yes,yes,no,yes,yes,yes,yes,yes,,,,,,,,,,no,,no,,1 you get it at an atm,no,no,no,no,yes,yes,no,(dk),no,(dk),no,no,yes,yes,no,2 somewhat possible,3 money from working or a loan from an employer,no,,,,,no,,,,,no,,,,no,,,,no,,,,,,,no,,,,,,no,,,,yes,yes
India,IND,167314114,0.372928401,1 male,53,completed primary or less,5 richest 20%,no,no,no,no,,,no,,no,no,no,no,no,no,no,(dk),(dk),,,,,,,no,no,yes,no,no,no,no,no,no,no,no,(dk),(dk),no,5 (dk),,(dk),,,,,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,192724045,0.294646447,1 male,30,completed primary or less,5 richest 20%,no,no,no,no,,,no,,no,no,no,no,no,no,no,no,no,,,,,,,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",yes,yes,no,no,no,yes,yes,no,no,no,no,,,,no,,,,yes,yes,yes,no,no,,,no,,,,,,no,,,,yes,no
India,IND,191597741,0.293597921,2 female,57,completed primary or less,5 richest 20%,no,no,no,no,,,no,,no,no,no,no,no,no,no,no,no,,,,,,,no,no,no,yes,no,yes,no,(dk),(dk),no,no,no,(dk),no,5 (dk),,(dk),,,,,no,,,,,(dk),,,,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,114170591,0.294646447,1 male,30,completed primary or less,5 richest 20%,yes,yes,no,yes,yes,yes,yes,yes,,,,,,,,,,yes,1 one or two times per month,yes,2 three or more times per month,1 you get it at an atm,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,2 somewhat possible,3 money from working or a loan from an employer,no,,,,,no,,,,,yes,yes,no,no,no,,,,yes,no,yes,no,no,,,no,,,,,,no,,,,yes,no
India,IND,121958980,0.438072797,1 male,55,completed primary or less,5 richest 20%,no,no,no,no,,,no,,no,no,no,no,no,no,no,no,no,,,,,,,no,yes,yes,yes,no,no,no,no,no,(dk),no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,127796561,0.279696301,1 male,48,completed primary or less,5 richest 20%,yes,yes,no,yes,no,yes,yes,yes,,,,,,,,,,no,,no,,1 you get it at an atm,no,no,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,no,,,,,no,,,,no,,,,no,,,,,,,no,,,,,,no,,,,yes,yes
India,IND,161986524,0.49434572,1 male,23,completed tertiary or more,3 middle 20%,yes,yes,no,yes,yes,yes,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,2 somewhat possible,1 savings,no,,,,,no,,,,,no,,,,no,,,,yes,no,yes,yes,no,2 over time as needed,1 you had this account before you began receiving payments from an employer.,no,,,,,,no,,,,yes,no
